mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.712339878,0.140208027,0.007955551,0.000471906,"""None""",{'penalty': None},0.812030075,0.76119403,0.802721088,0.852941176,0.794520548,0.804681384,0.029601507,1
1.946701622,0.034952116,0.007758904,0.00051833,l1,{'penalty': 'l1'},0.812030075,0.76119403,0.802721088,0.844444444,0.794520548,0.802982037,0.026903162,3
2.34695406,0.743323162,0.023079157,0.017084536,l2,{'penalty': 'l2'},0.812030075,0.76119403,0.802721088,0.852941176,0.794520548,0.804681384,0.029601507,1
