mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.26994762420654295,0.032996447590402815,0.015327644348144532,0.007908247915192164,"{0: 0.0, 1: 1.0}","{'class_weight': {0: 0.0, 1: 1.0}}",0.01960687718606828,0.01960687718606828,0.01960687718606828,0.01960736014976476,0.01960736014976476,0.019607070371546874,2.36602924132794e-07,20
0.16002287864685058,0.010464083873094254,0.011431550979614258,0.0031754472017474127,"{0: 0.05, 1: 0.95}","{'class_weight': {0: 0.05, 1: 0.95}}",0.7090719499478625,0.7192224622030238,0.729758149316509,0.7157676348547718,0.737527114967462,0.7222694622579258,0.010145035240505173,17
0.1418696880340576,0.014644470839290798,0.013973379135131836,0.004479283651283949,"{0: 0.1, 1: 0.9}","{'class_weight': {0: 0.1, 1: 0.9}}",0.8287841191066998,0.8282828282828283,0.8426270136307312,0.830655129789864,0.8136020151133502,0.8287902211846948,0.009229017258171912,13
0.17395853996276855,0.012133334631724032,0.012894535064697265,0.006657579248058948,"{0: 0.15000000000000002, 1: 0.85}","{'class_weight': {0: 0.15000000000000002, 1: 0.85}}",0.8586251621271076,0.8511198945981555,0.8712613784135241,0.8630490956072351,0.8407310704960836,0.8569573202484213,0.01041022788216295,9
0.18114233016967773,0.040255559294498144,0.014229297637939453,0.005732141364772285,"{0: 0.2, 1: 0.8}","{'class_weight': {0: 0.2, 1: 0.8}}",0.8753315649867375,0.85752688172043,0.8815789473684211,0.8797886393659181,0.8514588859416445,0.8691369838766303,0.012279598315902538,1
0.16543989181518554,0.021437402753379377,0.0117279052734375,0.0026167059702018915,"{0: 0.25, 1: 0.75}","{'class_weight': {0: 0.25, 1: 0.75}}",0.8775235531628532,0.8489795918367348,0.872,0.8761651131824234,0.8506056527590848,0.8650547821882192,0.012604244054825842,2
0.19208106994628907,0.03121399346099095,0.011250972747802734,0.0033203601087317333,"{0: 0.30000000000000004, 1: 0.7}","{'class_weight': {0: 0.30000000000000004, 1: 0.7}}",0.8734693877551021,0.8477366255144033,0.8728246318607764,0.8733153638814015,0.845108695652174,0.8624909409327713,0.013147713637409757,5
0.23322958946228028,0.023791969073579618,0.015115070343017577,0.004350129280493618,"{0: 0.35000000000000003, 1: 0.6499999999999999}","{'class_weight': {0: 0.35000000000000003, 1: 0.6499999999999999}}",0.8715846994535519,0.8496551724137932,0.8760107816711591,0.8729729729729729,0.8497267759562841,0.8639900804935522,0.011762646787383639,4
0.18328800201416015,0.01917791864624657,0.010678768157958984,0.002313661142418663,"{0: 0.4, 1: 0.6}","{'class_weight': {0: 0.4, 1: 0.6}}",0.869684499314129,0.8508287292817681,0.8726287262872627,0.8777173913043478,0.8528198074277854,0.8647358307230586,0.010869288090847513,3
0.19231104850769043,0.0043627806506339245,0.012502145767211915,0.004886624976398848,"{0: 0.45, 1: 0.55}","{'class_weight': {0: 0.45, 1: 0.55}}",0.8650137741046832,0.8527777777777777,0.8680272108843538,0.8715846994535519,0.8496551724137932,0.861411726926832,0.008637017932360668,6
0.17271146774291993,0.008219898178825204,0.01232447624206543,0.004662321420391348,"{0: 0.5, 1: 0.5}","{'class_weight': {0: 0.5, 1: 0.5}}",0.8642659279778393,0.847124824684432,0.8664850136239781,0.873972602739726,0.8488210818307905,0.8601338901713531,0.01045118068438262,7
0.1859668254852295,0.021693609394774663,0.01157693862915039,0.004181026454675052,"{0: 0.55, 1: 0.44999999999999996}","{'class_weight': {0: 0.55, 1: 0.44999999999999996}}",0.855944055944056,0.8495077355836849,0.8618331053351573,0.8724279835390946,0.8472222222222221,0.857387020524843,0.009093807134912453,8
0.17342724800109863,0.012070254632231065,0.008661842346191407,0.0020269743581264885,"{0: 0.6000000000000001, 1: 0.3999999999999999}","{'class_weight': {0: 0.6000000000000001, 1: 0.3999999999999999}}",0.8486562942008488,0.8347578347578347,0.8508287292817681,0.8736263736263736,0.8451882845188284,0.8506115032771306,0.012761695765701716,10
0.17476921081542968,0.011464717522468236,0.013666152954101562,0.006009800759365588,"{0: 0.65, 1: 0.35}","{'class_weight': {0: 0.65, 1: 0.35}}",0.8388017118402282,0.833095577746077,0.8492392807745504,0.868238557558946,0.8431372549019608,0.8465024765643525,0.012085683633004034,11
0.178184175491333,0.008691380389017202,0.008660602569580077,0.0021598320547370274,"{0: 0.7000000000000001, 1: 0.29999999999999993}","{'class_weight': {0: 0.7000000000000001, 1: 0.29999999999999993}}",0.8151382823871907,0.8297567954220314,0.821529745042493,0.8507042253521127,0.8283687943262412,0.8290995685060139,0.011999557599504744,12
0.1944526195526123,0.012906846350033861,0.012057304382324219,0.002575719042909496,"{0: 0.75, 1: 0.25}","{'class_weight': {0: 0.75, 1: 0.25}}",0.7976366322008864,0.8104956268221575,0.8,0.829971181556196,0.8126801152737753,0.8101567111706031,0.011480477585530198,14
0.1883554458618164,0.016475808331501512,0.011731576919555665,0.003440103378984235,"{0: 0.8, 1: 0.19999999999999996}","{'class_weight': {0: 0.8, 1: 0.19999999999999996}}",0.7640791476407914,0.7837837837837839,0.7659574468085106,0.800595238095238,0.7779433681073026,0.7784717968871253,0.013279310244681803,15
0.19738779067993165,0.018062948952747227,0.012822580337524415,0.005295621420599516,"{0: 0.8500000000000001, 1: 0.1499999999999999}","{'class_weight': {0: 0.8500000000000001, 1: 0.1499999999999999}}",0.7318611987381705,0.7386541471048513,0.7154213036565977,0.7503875968992249,0.7238689547581904,0.732038640231407,0.012027969596281407,16
0.20511603355407715,0.012961618967176255,0.009384727478027344,0.002399535693855498,"{0: 0.9, 1: 0.09999999999999998}","{'class_weight': {0: 0.9, 1: 0.09999999999999998}}",0.6633333333333333,0.6830065359477124,0.6633499170812603,0.7165605095541401,0.6903225806451612,0.6833145753123215,0.019760246860363564,18
0.2524611473083496,0.013798182497070087,0.010474586486816406,0.0028529051237398354,"{0: 0.9500000000000001, 1: 0.04999999999999993}","{'class_weight': {0: 0.9500000000000001, 1: 0.04999999999999993}}",0.5647482014388489,0.5933682373472949,0.54249547920434,0.6124567474048443,0.5648312611012434,0.5755799852993144,0.024510261733995283,19
