mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.23463988304138184,0.027468002973114757,0.012607240676879882,0.0013092740118455617,"{0: 0.0, 1: 1.0}","{'class_weight': {0: 0.0, 1: 1.0}}",0.003455009764158029,0.003455009764158029,0.003504994617329695,0.003504994617329695,0.003455096266993816,0.003475021005993853,2.4473371557133294e-05,20
0.13309235572814943,0.016937527339844126,0.008328008651733398,0.0015172058201047573,"{0: 0.05, 1: 0.95}","{'class_weight': {0: 0.05, 1: 0.95}}",0.7741935483870968,0.8405797101449275,0.7421383647798743,0.7599999999999999,0.7482993197278911,0.7730421886079578,0.03549647029211949,6
0.18299102783203125,0.02605815126434316,0.011782360076904298,0.0030363893758683083,"{0: 0.1, 1: 0.9}","{'class_weight': {0: 0.1, 1: 0.9}}",0.8085106382978724,0.8529411764705882,0.7746478873239437,0.7887323943661971,0.748201438848921,0.7946067070615045,0.03516401734132628,3
0.14815826416015626,0.023889954279002503,0.012980222702026367,0.004292895199354308,"{0: 0.15000000000000002, 1: 0.85}","{'class_weight': {0: 0.15000000000000002, 1: 0.85}}",0.8201438848920863,0.8636363636363636,0.7714285714285715,0.8057553956834532,0.7462686567164178,0.8014465744713786,0.040450978598897736,1
0.17070584297180175,0.009972429043520357,0.011685991287231445,0.0028136705736853053,"{0: 0.2, 1: 0.8}","{'class_weight': {0: 0.2, 1: 0.8}}",0.8260869565217391,0.8549618320610687,0.782608695652174,0.7883211678832117,0.7401574803149606,0.7984272264866308,0.03926561842181938,2
0.15703439712524414,0.013649606864710966,0.011986446380615235,0.003910566371624416,"{0: 0.25, 1: 0.75}","{'class_weight': {0: 0.25, 1: 0.75}}",0.8,0.8188976377952756,0.782608695652174,0.7851851851851851,0.7401574803149606,0.785369799789519,0.02603831903337057,4
0.17873005867004393,0.013174184309557111,0.013369321823120117,0.0048162700562703,"{0: 0.30000000000000004, 1: 0.7}","{'class_weight': {0: 0.30000000000000004, 1: 0.7}}",0.7819548872180452,0.8188976377952756,0.7737226277372262,0.7727272727272727,0.7301587301587301,0.77549223112731,0.02825490418649107,5
0.18856229782104492,0.022409131136733786,0.010123300552368163,0.001903675795287843,"{0: 0.35000000000000003, 1: 0.6499999999999999}","{'class_weight': {0: 0.35000000000000003, 1: 0.6499999999999999}}",0.7633587786259542,0.8095238095238095,0.7737226277372262,0.7596899224806201,0.6991869918699186,0.7610964260475058,0.03562164221686684,7
0.18185338973999024,0.013226746349110158,0.01091461181640625,0.002842565057794884,"{0: 0.4, 1: 0.6}","{'class_weight': {0: 0.4, 1: 0.6}}",0.75,0.7868852459016393,0.7131782945736433,0.7619047619047619,0.6949152542372882,0.7413767113234665,0.03322832041944733,8
0.17260937690734862,0.021764649355794318,0.010342979431152343,0.003350239344295056,"{0: 0.45, 1: 0.55}","{'class_weight': {0: 0.45, 1: 0.55}}",0.7377049180327868,0.7768595041322315,0.6929133858267716,0.7438016528925621,0.6842105263157895,0.7270979974400282,0.03428016706143028,9
0.18049588203430175,0.024131254465361997,0.007309579849243164,0.00011035670548956652,"{0: 0.5, 1: 0.5}","{'class_weight': {0: 0.5, 1: 0.5}}",0.7272727272727273,0.7192982456140351,0.7154471544715448,0.7241379310344828,0.672566371681416,0.7117444860148412,0.020002087073721156,10
0.17976694107055663,0.010083856387323842,0.010086965560913087,0.0031635663331153556,"{0: 0.55, 1: 0.44999999999999996}","{'class_weight': {0: 0.55, 1: 0.44999999999999996}}",0.7288135593220338,0.7142857142857143,0.6942148760330579,0.6846846846846847,0.6666666666666666,0.6977331001984315,0.021852900555931705,11
0.1816741943359375,0.018591696412482452,0.014573192596435547,0.004202418375699097,"{0: 0.6000000000000001, 1: 0.3999999999999999}","{'class_weight': {0: 0.6000000000000001, 1: 0.3999999999999999}}",0.6785714285714286,0.6909090909090908,0.6666666666666667,0.6727272727272726,0.6296296296296297,0.6677008177008178,0.020652090478478307,12
0.1950300693511963,0.012934981344628454,0.014583396911621093,0.008398784016593507,"{0: 0.65, 1: 0.35}","{'class_weight': {0: 0.65, 1: 0.35}}",0.6422018348623854,0.6666666666666667,0.6315789473684209,0.6226415094339622,0.616822429906542,0.6359822776475954,0.017576574188160103,13
0.18513708114624022,0.013888708704313113,0.009306907653808594,0.0026843478088972735,"{0: 0.7000000000000001, 1: 0.29999999999999993}","{'class_weight': {0: 0.7000000000000001, 1: 0.29999999999999993}}",0.5490196078431372,0.58,0.6194690265486725,0.5825242718446602,0.5631067961165048,0.5788239404705949,0.023674566355497965,14
0.2008906364440918,0.023419417815607916,0.009741783142089844,0.002995491965262465,"{0: 0.75, 1: 0.25}","{'class_weight': {0: 0.75, 1: 0.25}}",0.5050505050505051,0.5510204081632654,0.5818181818181818,0.5306122448979592,0.5346534653465347,0.5406309610552892,0.0253235137501824,15
0.20942988395690917,0.025084941290941413,0.01553049087524414,0.005199047534075818,"{0: 0.8, 1: 0.19999999999999996}","{'class_weight': {0: 0.8, 1: 0.19999999999999996}}",0.4791666666666667,0.5208333333333334,0.5142857142857142,0.4893617021276595,0.5102040816326531,0.5027702996092054,0.015818097560524092,16
0.24432315826416015,0.025448874770711994,0.011410379409790039,0.0032611588333883723,"{0: 0.8500000000000001, 1: 0.1499999999999999}","{'class_weight': {0: 0.8500000000000001, 1: 0.1499999999999999}}",0.4516129032258065,0.4893617021276595,0.4752475247524752,0.4444444444444445,0.4842105263157894,0.46897542017323507,0.017834091016417808,17
0.27646589279174805,0.020482149049366512,0.010419797897338868,0.0030747660808386726,"{0: 0.9, 1: 0.09999999999999998}","{'class_weight': {0: 0.9, 1: 0.09999999999999998}}",0.38636363636363635,0.47311827956989244,0.44680851063829785,0.40909090909090906,0.4222222222222222,0.42752071157699156,0.030042615893869633,18
0.29187960624694825,0.02620535457003994,0.008225202560424805,0.0007783087951072443,"{0: 0.9500000000000001, 1: 0.04999999999999993}","{'class_weight': {0: 0.9500000000000001, 1: 0.04999999999999993}}",0.3170731707317073,0.4090909090909091,0.33333333333333337,0.3720930232558139,0.3529411764705882,0.35690632257647037,0.03197484992487974,19
0.2493138313293457,0.004985657420941734,0.012391757965087891,0.0028471076297504113,"{0: 1.0, 1: 0.0}","{'class_weight': {0: 1.0, 1: 0.0}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
