mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.17042875289916992,0.0169271717050182,0.010918426513671874,0.0035675893327737217,"{0: 0.0, 1: 1.0}",,"{'class_weight': {0: 0.0, 1: 1.0}, 'penalty': None}",0.00345230238107326,0.003408350458623628,0.0034098886771637745,0.0034104872482884872,0.0034051076614922387,0.003417227285328278,1.7636490268083477e-05,39
0.0037668228149414064,7.871574889722218e-05,0.0,0.0,"{0: 0.0, 1: 1.0}",l1,"{'class_weight': {0: 0.0, 1: 1.0}, 'penalty': 'l1'}",,,,,,,,43
0.22198162078857422,0.01529538907712777,0.013137388229370116,0.0045052880675834316,"{0: 0.0, 1: 1.0}",l2,"{'class_weight': {0: 0.0, 1: 1.0}, 'penalty': 'l2'}",0.0034050224080518763,0.0034050224080518763,0.0034050224080518763,0.0034050224080518763,0.0034051076614922387,0.0034050394587399487,3.410137614495018e-08,40
0.13427648544311524,0.012238962794730517,0.01078343391418457,0.0026973472306626605,"{0: 0.05, 1: 0.95}",,"{'class_weight': {0: 0.05, 1: 0.95}, 'penalty': None}",0.7297297297297296,0.8028169014084507,0.7755102040816326,0.8082191780821918,0.7586206896551725,0.7749793405914355,0.02896629471744167,14
0.005797004699707032,0.0022947424358108616,0.0,0.0,"{0: 0.05, 1: 0.95}",l1,"{'class_weight': {0: 0.05, 1: 0.95}, 'penalty': 'l1'}",,,,,,,,43
0.14780092239379883,0.02185986073069655,0.009933185577392579,0.002351074708414794,"{0: 0.05, 1: 0.95}",l2,"{'class_weight': {0: 0.05, 1: 0.95}, 'penalty': 'l2'}",0.7297297297297296,0.8028169014084507,0.7755102040816326,0.8082191780821918,0.763888888888889,0.7760329804381787,0.028443182037765177,13
0.15899043083190917,0.005194065643170038,0.010889196395874023,0.00239433002837172,"{0: 0.1, 1: 0.9}",,"{'class_weight': {0: 0.1, 1: 0.9}, 'penalty': None}",0.7941176470588235,0.8028169014084507,0.8175182481751825,0.8194444444444444,0.7794117647058824,0.8026618011585567,0.014939624854977799,7
0.005129194259643555,0.001397236916180089,0.0,0.0,"{0: 0.1, 1: 0.9}",l1,"{'class_weight': {0: 0.1, 1: 0.9}, 'penalty': 'l1'}",,,,,,,,43
0.1582693099975586,0.013004826497131337,0.008291053771972656,0.0016722325374841425,"{0: 0.1, 1: 0.9}",l2,"{'class_weight': {0: 0.1, 1: 0.9}, 'penalty': 'l2'}",0.7941176470588235,0.8028169014084507,0.8175182481751825,0.8194444444444444,0.7794117647058824,0.8026618011585567,0.014939624854977799,7
0.17601318359375,0.019720324821007124,0.012455987930297851,0.0026322694994188305,"{0: 0.15000000000000002, 1: 0.85}",,"{'class_weight': {0: 0.15000000000000002, 1: 0.85}, 'penalty': None}",0.7938931297709922,0.8057553956834531,0.8296296296296296,0.8169014084507041,0.7819548872180452,0.8056268901505648,0.0167410133179235,1
0.004647445678710937,0.0015005969409981285,0.0,0.0,"{0: 0.15000000000000002, 1: 0.85}",l1,"{'class_weight': {0: 0.15000000000000002, 1: 0.85}, 'penalty': 'l1'}",,,,,,,,43
0.15761184692382812,0.012645296524606102,0.009234333038330078,0.0030500392343969117,"{0: 0.15000000000000002, 1: 0.85}",l2,"{'class_weight': {0: 0.15000000000000002, 1: 0.85}, 'penalty': 'l2'}",0.7938931297709922,0.8057553956834531,0.8296296296296296,0.8169014084507041,0.7819548872180452,0.8056268901505648,0.0167410133179235,1
0.16141257286071778,0.024260027324945813,0.011554622650146484,0.002793494179866125,"{0: 0.2, 1: 0.8}",,"{'class_weight': {0: 0.2, 1: 0.8}, 'penalty': None}",0.78125,0.8088235294117648,0.8270676691729324,0.8226950354609929,0.787878787878788,0.8055430043848956,0.018278073287651936,3
0.007157039642333984,0.004135539267498689,0.0,0.0,"{0: 0.2, 1: 0.8}",l1,"{'class_weight': {0: 0.2, 1: 0.8}, 'penalty': 'l1'}",,,,,,,,43
0.1646132469177246,0.010403803900601053,0.01295642852783203,0.005477078612520555,"{0: 0.2, 1: 0.8}",l2,"{'class_weight': {0: 0.2, 1: 0.8}, 'penalty': 'l2'}",0.78125,0.8088235294117648,0.8270676691729324,0.8226950354609929,0.787878787878788,0.8055430043848956,0.018278073287651936,3
0.18913650512695312,0.025069834936975656,0.010619688034057616,0.002990337198430947,"{0: 0.25, 1: 0.75}",,"{'class_weight': {0: 0.25, 1: 0.75}, 'penalty': None}",0.7874015748031497,0.8148148148148148,0.8270676691729324,0.7971014492753622,0.7938931297709922,0.8040557275674501,0.014658162229171594,5
0.006149864196777344,0.0026688093263191716,0.0,0.0,"{0: 0.25, 1: 0.75}",l1,"{'class_weight': {0: 0.25, 1: 0.75}, 'penalty': 'l1'}",,,,,,,,43
0.18557653427124024,0.017575947213407977,0.008431959152221679,0.0013736206841149703,"{0: 0.25, 1: 0.75}",l2,"{'class_weight': {0: 0.25, 1: 0.75}, 'penalty': 'l2'}",0.7874015748031497,0.8148148148148148,0.8270676691729324,0.7971014492753622,0.7938931297709922,0.8040557275674501,0.014658162229171594,5
0.1759725570678711,0.018334079075469037,0.010715436935424805,0.0029152558163230403,"{0: 0.30000000000000004, 1: 0.7}",,"{'class_weight': {0: 0.30000000000000004, 1: 0.7}, 'penalty': None}",0.7874015748031497,0.8181818181818182,0.7999999999999999,0.7794117647058824,0.7741935483870968,0.7918377412155893,0.015786290665599417,9
